"name","speed","lat","long"
"DAYTONA","121","56.03103","16.71573"
"DEEP BLUE","128","57.62602","19.95095"
"HS CARMEN","1","55.79533","20.87183"
"NAVIG8 SOLIDARITY","144","55.62744","15.62815"
"NS CONSUL","0","56.04896","20.96043"
"INDEPENDENCE","0","55.66372","21.13768"
"CORDULA JACOB","0","57.49983","21.36513"
"HAFNIA CRUX","0","54.379","18.66"
"ALPINE MIA","125","55.60992","15.47822"
"BALTIC ADVANCE","135","57.46383","19.802"
"BALTIC FAITH","136","57.79428","19.9642"
"SEYCHELLES PRIDE","69","55.72758","20.99902"
"SEABASS","0","57.51839","21.37525"
"BESIKTAS HALLAND","129","57.48521","19.30372"
"THUN GARLAND","106","57.56001","19.56203"
"ORALUNA","128","56.03725","15.00518"
"KILSTRAUM","124","57.67129","21.65117"
"RISTNA","80","57.39477","21.15394"
"[SAT-AIS]","80","55.19667","19.41667"
"DAYTONA","121","56.06135","16.79728"
"NAVIG8 SOLIDARITY","144","55.62981","15.64429"
"NS CONSUL","1","56.04895","20.96045"
"INDEPENDENCE","0","55.66372","21.13765"
"HAFNIA CRUX","1","54.379","18.66"
"SEYCHELLES PRIDE","72","55.72787","21.00987"
"THUN GARLAND","105","57.56601","19.57009"
"CORAL METHANE","150","57.98706","19.96531"
"RISTNA","80","57.38995","21.14747"
"DAYTONA","121","56.06574","16.80881"
"NAVIG8 SOLIDARITY","145","55.631","15.65253"
"NS CONSUL","1","56.04897","20.96033"
"INDEPENDENCE","0","55.66368","21.13767"
"CORDULA JACOB","1","57.49999","21.3651"
"HAFNIA CRUX","0","54.37901","18.65997"
"DAYTONA","121","56.06852","16.81616"
"HS CARMEN","1","55.79533","20.8725"
"NS CONSUL","1","56.04899","20.96004"
"INDEPENDENCE","0","55.66368","21.13768"
"CORDULA JACOB","0","57.50006","21.36485"
"SEYCHELLES PRIDE","55","55.72827","21.03997"
"NORTHERN OCEAN","122","56.7077","18.0647"
"SEYCHELLES PRIDE","69","55.72813","21.01855"
"THUN GARLAND","106","57.57153","19.57747"
"CORAL IVORY","145","57.9821","19.89414"
"CORAL METHANE","152","57.9776","19.9523"
"RISTNA","80","57.38562","21.14209"
"CORDULA JACOB","0","57.50001","21.36498"
"SEYCHELLES PRIDE","59","55.7283","21.02992"
"THUN GARLAND","106","57.57875","19.58698"
"CORAL IVORY","144","57.98686","19.87946"
"CORAL METHANE","151","57.96304","19.93204"
"RISTNA","80","57.38005","21.13525"
"THUN GARLAND","106","57.58877","19.60025"
"CORAL IVORY","145","57.99671","19.84939"
"HS CARMEN","2","55.7955","20.87233"
"SEYCHELLES PRIDE","58","55.7283","21.03328"
"THUN GARLAND","106","57.5848","19.59502"
"CORAL IVORY","144","57.99189","19.86398"
"CORAL METHANE","151","57.9508","19.91504"
"RISTNA","81","57.37068","21.12374"
"DAYTONA","120","56.08776","16.8649"
"HS CARMEN","1","55.79533","20.87233"
"NAVIG8 SOLIDARITY","143","55.64087","15.73835"
"NS CONSUL","1","56.04892","20.95986"
"INDEPENDENCE","0","55.66369","21.13769"
"SCF IRTYSH","121","55.64864","15.65277"
"DAYTONA","121","56.09484","16.8801"
"HS CARMEN","2","55.79517","20.87183"
"SEYCHELLES PRIDE","53","55.72861","21.04937"
"THUN GARLAND","106","57.59717","19.61178"
"CORAL METHANE","153","57.93654","19.89518"
"RISTNA","81","57.36308","21.11457"
"NS CONSUL","2","56.04892","20.95951"
"INDEPENDENCE","0","55.66367","21.13763"
"CORDULA JACOB","1","57.50028","21.36447"
"SEYCHELLES PRIDE","61","55.72863","21.06617"
"HS CARMEN","2","55.79533","20.87217"
"CORDULA JACOB","1","57.50014","21.36463"
"HAFNIA CRUX","1","54.379","18.65996"
"SEYCHELLES PRIDE","60","55.72877","21.06225"
"THUN GARLAND","106","57.60667","19.6249"
"CORAL METHANE","152","57.92403","19.87774"
"RISTNA","80","57.35497","21.10477"
"THUN GARLAND","106","57.61337","19.63412"
"CORAL METHANE","151","57.91585","19.86638"
"RISTNA","80","57.35247","21.10173"
"HS CARMEN","1","55.79517","20.87167"
"NS CONSUL","1","56.04893","20.95901"
"INDEPENDENCE","0","55.66372","21.13771"
"CORDULA JACOB","1","57.5004","21.36445"
"HAFNIA CRUX","1","54.37901","18.65996"
"SEYCHELLES PRIDE","40","55.7282","21.0774"
"NS CONSUL","2","56.04892","20.95929"
"SEYCHELLES PRIDE","53","55.7284","21.07258"
"THUN GARLAND","106","57.61655","19.63853"
"CORAL METHANE","151","57.91184","19.86076"
"RISTNA","80","57.34934","21.098"
"THUN GARLAND","106","57.62011","19.64347"
"CORAL METHANE","151","57.90302","19.84845"
"HS CARMEN","0","55.79517","20.8715"
